MAEASaM ID,Evidence,Evidence Shape,Interpretation,Interpretation certainty,Ground truthed,Land use land cover,Climate Zone,Geometry,Grid Level 1,Grid Level 2,Remote Sensing Activity,Surveyor Name,Survey type,Survey Date,Image Type,Date of imagery,Additional information,Threat assessment date,Threat assessor name,Image used date,Threat type,Threat level,Measurement value,Measurement type,Measurement unit
RS_ETH_0000001,Enclosure,,Unknown,Low,No,Barren,Desert hot,POINT (42.5043718421513 10.996126711674),E42.6N10.8,183461,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000002,Enclosure,,Unknown,Low,No,Barren,Desert hot,POINT (42.5016173988193 10.9907998699143),E42.6N10.8,183461,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000003,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.4999830324806 10.990748110558),E42.3N10.8,182991,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000004,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5001079034954 10.9905809200086),E42.6N10.8,183461,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000005,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5023906777474 10.9896597736279),E42.6N10.8,183461,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000006,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5032008141481 10.9888422894181),E42.6N10.8,183461,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000007,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.4999928915932 10.9806688485841),E42.3N10.8,182991,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000008,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5035264738808 10.9560755087173),E42.6N10.8,183462,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000009,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5015489097505 10.9429236857967),E42.6N10.8,183463,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000010,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5024248190238 10.9414963920355),E42.6N10.8,183463,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000011,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.502349381448 10.941481536684),E42.6N10.8,183463,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000012,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.502307916691 10.9414592648951),E42.6N10.8,183463,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000013,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.502221210099 10.9414555547429),E42.6N10.8,183463,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000014,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5023417563758 10.9416676731158),E42.6N10.8,183463,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000015,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5023531187687 10.9416005530794),E42.6N10.8,183463,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000016,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5022510980677 10.9416154584355),E42.6N10.8,183463,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000017,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5031482231507 10.9134870713062),E42.6N10.8,183464,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000018,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5030916431132 10.9134155327676),E42.6N10.8,183464,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000019,Structure,Circular,Cairn,Low,No,Barren,Desert hot,POINT (42.5032190054691 10.9134268979581),E42.6N10.8,183464,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000020,Enclosure,Rectangular,Mosque,Medium,No,Barren,Desert hot,POINT (42.5024399853256 10.8913179008014),E42.6N10.8,183465,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000021,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5018749280203 10.816144430732),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
