WKT,Year,MAEASaM ID,Evidence,Evidence shape,Interpretation,Interpretation certainty,Ground truthed,Land use land cover,Climatic zone,Relationship to other site,Chronology,Geometry type,Grid level 1,Grid level 2,Remote sensing activity,Survey type,Survey date,Surveyor name,Image type,Date of imagery,Spatial resolution (m),Assessment date,Assessor name,Date of image used,Overall condition,Disturbance effect,Extent of impact,Severity of impact,Recommendation for management of disturbance,Threat assessor name,Threat assessment date,Image used date,Threat type,Threat level,Probability of threat affecting site,Recommendation for management of threats,Additional information,Measurement type,Measurement unit,Measurement value
POINT Z (32.7119990900001 -18.273614858 0),year 1,RS-ZWE-0000001,Enclosure,,Settlement,High,Unkown,Thicket,Cwb,,,Central point,E32.6S18.3,263171,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,Maxar,2006/07/08,,,,,,,,,,Renier van der Merwe,2021/07/29,2006/07/08,Environmental,Low,,,,,,
POINT Z (32.716289753 -18.2725534199999 0),year 1,RS-ZWE-0000002,Enclosure,,Settlement,High,Unkown,Grassland,Cwb,,,Central point,E32.6S18.3,263171,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,Maxar,2006/07/08,,,,,,,,,,Renier van der Merwe,2021/07/29,2006/07/08,Environmental,Low,,,,,,
POINT Z (32.715452183 -18.271573083 0),year 1,RS-ZWE-0000003,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.6S18.3,263171,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,Maxar,2006/07/08,,,,,,,,,,Renier van der Merwe,2021/07/29,2006/07/08,Environmental,Low,,,,,,
POINT Z (32.710220195 -18.276783408 0),year 1,RS-ZWE-0000004,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.6S18.3,263172,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2013/10/18,,,,,,,,,,Renier van der Merwe,2021/07/29,2013/10/18,Construction,Medium,,,,,,
POINT Z (32.7087389800001 -18.2772593 0),year 1,RS-ZWE-0000005,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.6S18.3,263172,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2013/10/18,,,,,,,,,,Renier van der Merwe,2021/07/29,2013/10/18,Construction,Medium,,,,,,
POINT Z (32.827313331 -18.322625536 0),year 1,RS-ZWE-0000006,Pit,,Pit structure,High,Unkown,Thicket,Cwb,,,Central point,E32.8S18.3,265573,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2019/05/21,,,,,,,,,,Renier van der Merwe,2021/07/29,2019/05/21,Environmental,Low,,,,,,
POINT Z (32.8313251020001 -18.324629042 0),year 1,RS-ZWE-0000007,Terracing,,Terracing,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265573,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2019/05/21,,,,,,,,,,Renier van der Merwe,2021/07/29,2019/05/21,Environmental,Low,,,,,,
POINT Z (32.802195473 -18.3295163519999 0),year 1,RS-ZWE-0000008,Terracing,,Terracing,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.801429286 -18.328183854 0),year 1,RS-ZWE-0000009,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.801039055 -18.328750165 0),year 1,RS-ZWE-0000010,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.800539368 -18.328902451 0),year 1,RS-ZWE-0000011,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.8002014840001 -18.328797755 0),year 1,RS-ZWE-0000012,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.8000777530001 -18.3289595579999 0),year 1,RS-ZWE-0000013,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.803161534 -18.329716226 0),year 1,RS-ZWE-0000014,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.803456587 -18.330844091 0),year 1,RS-ZWE-0000015,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.80163392 -18.330867886 0),year 1,RS-ZWE-0000016,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/25,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/25,Environmental,Low,,,,,,
POINT Z (32.8006393050001 -18.3310296889999 0),year 1,RS-ZWE-0000017,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.799730351 -18.3304490999999 0),year 1,RS-ZWE-0000018,Terracing,,Terracing ,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.8045276420001 -18.329768456 0),year 1,RS-ZWE-0000019,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.8050659950001 -18.3295305099999 0),year 1,RS-ZWE-0000020,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.794077545 -18.336943919 0),year 1,RS-ZWE-0000021,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.794248866 -18.3358350899999 0),year 1,RS-ZWE-0000022,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.79493891 -18.3363204999999 0),year 1,RS-ZWE-0000023,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.7958811760001 -18.336610794 0),year 1,RS-ZWE-0000024,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
